1 galaxy  n.星系,银河,一群显赫的人,一系列光彩夺目的东西                
479 ornament  n.装饰物,教堂用品;vt.装饰,修饰                
480 orthodox  adj.正统的,传统的,习惯的,保守的,东正教的                
481 outbreak  n.(战争的)爆发,(疾病的)发作                
482 outfit  n.用具,配备,机构,全套装配,;vt.配备,装备;vi.得到装备                
483 outline  n.大纲,轮廓,略图,外形,要点,概要;vt.描画轮廓,略述                
484 output  n.产量,输出,输出量                
485 outrage  n.暴行,侮辱,愤怒;vt.凌辱,引起...义愤,强奸                
486 outset  n.开端,开始                
487 outward  adj.外面的,外表的,公开的,向外的,外出的;adv.向外,在外,表面上n.外表,周围世界              
488 overcome  vt.战胜,克服,胜过,征服;vi.得胜                
489 overflow  n.溢出,超值,泛滥,充满,洋溢;v.(使)泛滥,(使)溢出,(使)充溢                
490 overhead  adj.在头上的,高架的;n.企业一般管理费用,天花板adv.在头顶上,在空中,在高处              
491 overhear  vt.无意中听到,偷听                
492 overlap  v重叠                
493 overlook  vt.俯瞰,耸出,远眺,没注意到;n.眺望,俯瞰中的景色                
494 overpass  n.<美>天桥,陆桥;vt.胜过,通过,忽视                
495 overt  adj.明显的,公然的                
496 overthrow  n.推翻,打倒,扔得过远得球;vt.打倒,推翻,颠覆                
497 overturn  n.倾覆,破灭,革命;vt.推翻,颠倒;vi.翻倒;n.翻转,毁灭                
498 overwhelm  vt.淹没,覆没,受打击,制服,压倒                
499 overwhelming  adj.压倒性的,无法抵抗的                
500 owe  vt.欠(债等),受到...的思想,感激,把...归功于;v.欠,应感激,应该把…归功于(to);vi.欠钱            
501 owl  n.[动]猫头鹰,枭,惯于晚上活动的人;ObjectWindowLibrary,BorlandC++的类库              
502 oxide  n.[化]氧化物                
503 oxygen  n.[化]氧                
504 ozone  n.新鲜的空气,[化]臭氧                
505 package  n.包裹,包                
506 pact  n.合同,公约,协定                
507 pamphlet  n.小册子                
508 panic  n.惊慌,恐慌,没有理由的                
509 paperback  n.平装本,纸面本                
510 paradise  n.天堂                
511 paradox  n.似非而是的论点,自相矛盾的话                
512 paragraph  n.(文章)段,节,段落                
513 parallel  adj.平行的,相同的,类似的,并联的;n.平行线,平行面,类似,相似物;v.相应,平行              
514 paralyze  vt.使瘫痪,使麻痹                
515 parameter  n.参数,参量,<口>起限定作用的因素                
516 parasite  n.寄生虫,食客                
517 partial  adj.部分的,局部的,偏袒的,偏爱的;n.泛音                
518 participant  n.参与者,共享者;adj.参与的                
519 partition  n.分割,划分,瓜分,分开,隔离物;vt.区分,隔开,分割                
520 passion  n.激情,热情                
521 passive  adj.被动的                
522 pastime  n.消遣,娱乐                
523 pastry  n.面粉糕饼,馅饼皮                
524 pasture  n.牧地,草原,牧场;v.放牧,牧(牛、羊)等,吃草                
525 patent  n.专利权,执照,专利品;adj.特许的,专利的,显著的,明白的,新奇的;vt.取得...的专利权,请准专利            
526 pathetic  adj.可怜的,悲惨的                
527 patriot  n.爱国者                
528 patriotic  adj.爱国的,有爱国心的                
529 patrol  v.出巡,巡逻;n.巡逻                
530 patron  n.(对某人,某种目标,艺术等)赞助人,资助人                
531 pattern  n.模范,式样,模式,样品,格调,图案;vt.模仿,仿造,以图案装饰;vi.形成图案              
532 pave  v.铺                
533 peak  n.山顶,顶点,帽舌,(记录的)最高峰;adj.最高的;vi.到达最高点,消瘦,缩小;vt.使竖起,使达到最高点            
534 pearl  n.珍珠                
535 peculiar  adj.奇特的,罕见的,特殊的;n.特有财产,特权                
536 pedal  n.踏板;v.踩...的踏板                
537 pedestrian  n.步行者;adj.徒步的,呆板的,通俗的                
538 peel  v.剥,削,剥落                
539 peg  n.钉,栓,桩,销子,借口;vt.钉木钉,固定,限制;vi.坚持不懈地工作                
540 penalty  n.处罚,罚款                
541 pendulum  n.钟摆,摇锤                
542 penguin  n.企鹅                
543 peninsula  n.半岛                
544 perception  n.理解,感知,感觉,DPS公司出的数字影像压缩卡                
545 perfection  n.尽善尽美,完美,完成                
546 performance  n.履行,执行,成绩,性能,表演,演奏                
547 perfume  n.香味,芳香,香水;vt.使发香,洒香水于,发香味                
548 periodic  adj.周期的,定期的                
549 periodical  adj.周期的,定期的;n.期刊,杂志                
550 perish  vi.毁灭,死亡,腐烂,枯萎;vt.毁坏,使麻木                
551 permanent  adj.永久的,持久的                
552 permeate  vt.弥漫,渗透,透过,充满;vi.透入                
553 permissible  adj.可允许的                
554 perpetual  adj.永久的                
555 perplex  v.困惑                
556 persist  vi.坚持,持续                
557 persistent  adj.持久稳固的                
558 perspective  n.透视画法,透视图,远景,前途,观点,看法,观点,观察                
559 persuasion  n.说服,说服力                
560 pessimistic  悲观的                
561 pest  n.有害物                
562 petition  n.请愿,情愿书,诉状,陈情书;v.请求,恳求,请愿                
563 petty  adj.小的,不重要的,小规模的,小型的,细微的,小器的,卑鄙的                
564 phase  n.阶段,状态,相,相位;v.定相                
565 phenomenon  n.现象                
566 physiological  adj.生理学的,生理学上的                
567 pilgrim  n.圣地朝拜者,朝圣                
568 pirate  n.海盗,盗印者,盗版者,侵犯专利权者;vt.盗印,盗版,掠夺,翻印;vi.做海盗              
569 pistol  n.手枪                
570 pitch  n.程度,斜度,树脂,投掷,定调,船前后颠簸,沥青;vt.投,掷,向前倾,定位于,用沥青涂,扎营;vi.搭篷,投掷,坠落,倾斜          
571 plague  n.瘟疫,麻烦,苦恼,灾祸;vt.折磨,使苦恼,使得灾祸                
572 planet  n.[天]行星                
573 plaster  n.石膏,灰泥,膏药,橡皮膏;vt.涂以灰泥,敷以膏药,减轻,粘贴,重创                
574 plateau  n.高地,高原(上升后的)稳定水平(或时期、状态)                
575 plausible  adj.似是而非的                
576 plea  n.恳求,请求,辩解,藉口                
577 plead  vbl.plead的过去式及过去分词                
578 pledge  n.保证,誓言,抵押,抵押品;vt.保证,使发誓,抵押,典当,举杯祝...健康              
579 plunge  n.跳进,投入;vi.投入,跳进,陷入;vt.使投入,使插入,使陷入                
580 poetry  n.诗,作诗法,诗意,诗情                
581 poisonous  adj.有毒的                
582 poke  n.刺,戳,懒汉,袋子;vt.戳,捅,拨开,刺;vi.戳,刺,捅,伸出,刺探,闲荡              
583 polar  adj.[天]两极的,极地的,南辕北辙的,南极的,(北极星似的)指引的,极性的,北极的;n.极线,极面            
584 pole  n.棒,柱,杆,竿,极,磁极,电极;vt.用竿支撑,用棒推;vi.撑篙                
585 polish  n.磨光,光泽,上光剂,优雅,精良;vt.擦亮,发亮,磨光,推敲;vi.发亮,变光滑;adj.波兰的;n.波兰人            
586 ponder  v.沉思,考虑                
587 pope  n.罗马教皇,主教,蒲柏(1688-1744,英国诗人),大腿上要害部位;vt.打大腿上要害部位            
588 porch  n.门廊,走廊                
589 pore  n.毛孔,小孔,气孔;vi.熟读,凝视,细想,沉思;vt.因凝视过度使...疲劳              
590 portray  v.描绘                
591 pose  n.姿势,姿态;v.(使...)摆好姿势,形成,引起,造成;vi.摆姿势,佯装,矫揉造作              
592 positive  adj.肯定的,实际的,积极的,绝对的,确实的;adj.[数]正的;adj.[电]阳的;adj.[语法]原级的            
593 possess  vt.占有,拥有,持有,摆布,支配                
594 posture  n.(身体的)姿势,体态,状态,情况,心境,态度;v.令取某种姿势,摆姿势,作出姿态              
595 potential  adj.潜在的,可能的,势的,位的;n.潜能,潜力,电压                
596 poverty  n.贫穷,贫困,贫乏,缺少                
597 practicable  adj.能实行的,行得通的,可以实行的                
598 preach  v.鼓吹                
599 precede  v.领先(于),在...之前,先于                
600 precedent  n.先例                
601 precious  adj.宝贵的,贵重的,珍爱的,过于精致的,珍爱的                
602 precise  adj.精确的,准确的;n.精确                
603 preclude  n.排除                
604 predecessor  n.前辈,前任,(被取代的)原有事物                
605 predict  v.预知,预言,预报                
606 predominant  adj.卓越的,支配的,主要的,突出的,有影响的                
607 preferable  adj.更可取的,更好的,更优越的                
608 preference  n.偏爱,优先选择                
609 prejudice  n.偏见,成见,损害,侵害;v.损害                
610 preliminary  adj.预备的,初步的                
611 premature  adj.未成熟的,太早的,早熟的                
612 premier  adj.第一的,首要的;n.总理                
613 premise  n.[逻][法]前提,(企业,机构等使用的)房屋连地基;vt.提论,预述,假定;vi.作出前提              
614 premium  n.额外费用,奖金,奖赏,保险费,(货币兑现的)贴水                
615 prescription  n.指示,规定,命令,处方,药方                
616 presentation  n.提供显示外观                
617 preserve  vt.保护,保持,保存,保藏;vi.做蜜饯,禁猎;n.蜜饯,果酱,禁猎地,禁区,防护物              
618 preside  v.主持                
619 pressure  n.压,压力,电压,压迫,强制,紧迫                
620 prestige  n.声望,威望,威信                
621 presumably  adv.推测起来,大概                
622 presume  vt.假定,假设,认为                
623 pretext  n.借口,托辞;v.借口                
624 prevail  vi.流行,盛行,获胜,成功                
625 prevalent  adj.普遍的,流行的                
626 previous  n.事先查看,[计]预览;vt.事先查看,预展,预演                
627 preview  adj.在前的,早先的;adv.在...以前;返回上一级菜单                
628 prey  n.被掠食者,牺牲者,掠食;vi.捕食,掠夺,折磨                
629 priest  n.牧师                
630 primarily  adv.首先,起初,主要地,根本上                
631 primary  adj.第一位的,主要的,初步的,初级的,原来的,根源的                
632 prime  n.最初,青春,精华;adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的;v.预先准备好,<口>让人吃(喝)足,灌注,填装      
633 primitive  adj.原始的,远古的,粗糙的,简单的                
634 principal  n.负责人,首长,校长,主犯,本金;adj.主要的,首要的                
635 principle  n.法则,原则,原理                
636 priority  n.先,前,优先,优先权                
637 privacy  n.独处而不受干扰,秘密                
638 privilege  n.特权,特别待遇,基本公民权力,特免;vt.给与...特权,特免                
639 probability  n.可能性,或然性,概率                
640 probe  n.探针,探测器;vt.(以探针等)探查,查明                
641 procedure  n.程序,手续                
642 proceedings  n.行动,进行,会议录,学报                
643 process  n.过程,作用,方法,程序,步骤,进行,推移;vt.加工,处理                
644 proclaim  vt.宣布,声明,显示,显露                
645 productive  adj.生产性的,生产的,能产的,多产的                
646 productivity  n.生产力                
647 profess  v.表示                
648 profession  n.职业,专业,表白,宣布                
649 professional  n.自由职业者,专业人员,职业运动员,职业艺人;adj.专业的,职业的                
650 proficiency  n.熟练,精通,熟练程度                
651 profitable  adj.有利可图的                
652 profound  adj.深刻的,意义深远的,渊博的,造诣深的                
653 progressive  n.改革论者,进步论者;adj.前进的,(税收)累进的,进步的                
654 prohibit  vt.禁止,阻止                
655 project  n.计划,方案,事业,企业,工程;v.设计,计划,投射,放映,射出,发射(导弹等),凸出              
656 prolong  vt.延长,拖延                
657 prominent  adj.卓越的,显著的,突出的                
658 promising  adj.有希望的,有前途的                
659 promote  vt.促进,发扬,提升,提拔,晋升为                
660 prone  adj.倾向于                
661 proof  n.证据,试验,考验,[印刷]校样;adj.不能透入的,证明用的,防...的,有耐力的;vt.检验,校对,使不被穿透          
662 propaganda  n.宣传,[天主教]传道总会                
663 propagate  v.繁殖,传播,宣传                
664 propel  vt.推进,驱使                
665 property  n.财产,所有物,所有权,性质,特性,(小)道具                
666 prophet  n.先知,预言者,提倡者                
667 proposition  n.主张,建议,陈述,命题                
668 prose  n.散文                
669 prosecute  vt.实行,从事,告发,起诉;vi.告发,起诉,作检察官                
670 prospect  n.景色,前景,前途,期望;vi.寻找,勘探                
671 prospective  adj.预期的                
672 prosperous  adj.繁荣的                
673 protein  n.[生化]蛋白质;adj.蛋白质的                
674 protest  n.主张,断言,抗议;v.主张,断言抗议,拒付                
675 prototype  n.原型                
676 provided  conj.倘若                
677 provision  n.供应,(一批)供应品,预备,防备,规定                
678 provocative  adj.煽动的;n.刺激物                
679 provoke  vt.激怒,挑拨,煽动,惹起,驱使                
680 proximity  n.接近,亲近                
681 prune  v.剪除                
682 psychiatrist  n.精神病医师,精神病学家                
683 psychological  adj.心理(上)的                
684 pudding  n.布丁(一种以面粉,牛奶,鸡蛋等为基料的糊壮甜食)                
685 pumpkin  n.南瓜                
686 purchase  vt.买,购买;n.买,购买                
687 purify  vt.使纯净;v.净化                
688 purity  n.纯净,纯洁,纯度                
689 pursue  vt.追赶,追踪,追击,继续,从事                
690 pursuit  n.追击                
