1 abandon  vt.放弃,遗弃;n.放任,狂热                
531 crowd  n.人群,群众,一堆(东西),一伙;v.群集,拥挤,挤满                
532 crucial  adj.至关紧要的                
533 crumble  v.弄碎,粉碎,崩溃;n.面包屑                
534 crush  vt.压碎,碾碎,压服,压垮,粉碎,(使)变形                
535 cucumber  n.[植]黄瓜                
536 culminate  v.达到顶点                
537 culture  n.文化,文明                
538 cumulative  adj.累积的                
539 curb  n.路边                
540 current  adj.当前的,通用的,流通的,现在的,草写的,最近的;n.涌流,趋势,电流,水流,气流              
541 curse  n.诅咒,咒语,祸根,祸因;vt.诅咒,咒骂,降祸,使受罪                
542 customary  adj.习惯的,惯例的                
543 cute  adj.可爱的,聪明的,伶俐的,装腔作势的                
544 cycle  n.周期,循环,自行车,一段时间,整套,(电学)周波;vi.循环,轮转,骑自行车;vt.使循环,使轮转            
545 cylinder  n.圆筒,圆柱体,汽缸,柱面                
546 cynical  adj.愤世嫉俗的                
547 dart  n.标枪,镖,(昆虫的)刺,飞快的动作;v.飞奔,投掷                
548 database  n.[计]数据库,资料库                
549 dazzle  v.(使)眼花,眩耀;n.耀眼                
550 deadline  n.最终期限                
551 deadly  adj.致命的,势不两立的,死一般的,极度的,必定的                
552 dean  n.(大学)院长,主持牧师,(基督教)教长                
553 debate  v.争论,辩论;n.争论,辩论                
554 decade  n.十年,十                
555 decay  vi.&n.腐朽,腐烂,衰减,衰退;v.衰落                
556 deceive  v.欺骗,行骗                
557 decent  adj.正派的,端庄的,有分寸的,(服装)得体的,大方的;adj.<口>相当好的、象样的              
558 decimal  adj.十进的,小数的,以十为基础的,十进制;n.小数                
559 decisive  adj.决定性的                
560 decorate  v.装饰,为...做室内装修                
561 decrease  n.减少,减少之量;v.减少                
562 decree  n.法令,政令,教令,天命,判决;v.颁布                
563 dedicate  vt.献(身),致力,题献(一部著作给某人)                
564 deduce  vt.推论,演绎出                
565 deduct  vt.扣除,演绎                
566 deem  v.认为,相信                
567 default  n.默认(值),缺省(值),食言,不履行责任,[律]缺席;v.疏怠职责,缺席,拖欠,默认              
568 defeat  n.击败,战胜,失败;vt.击败,战胜,使失败,挫折;v.击败                
569 defect  n.过失,缺点                
570 defendant  n.被告;adj.辩护的,为自己辩护的                
571 defiance  n.挑战,蔑视,挑衅                
572 deficiency  n.缺乏,不足                
573 deficit  n.赤字,不足额                
574 define  vt.定义,详细说明                
575 definitely  adv.明确地,干脆地                
576 definition  n.定义,解说,精确度,(轮廓影像等的)清晰度                
577 definitive  adj.最后的,确定的,权威性的                
578 defy  vt.不服从,公然反抗,藐视,挑衅,违抗,使...难于;n.挑战                
579 degenerate  adj.退化的;v.退化                
580 degrade  v.(使)降级,(使)堕落,(使)退化                
581 deliberate  adj.深思熟虑的,故意的,预有准备的;v.商讨                
582 delicate  adj.精巧的,精致的,病弱的,脆弱的,微妙的,棘手的,灵敏的,精密的                
583 demand  n.要求,需求(量),需要;v.要求,需要,要求知道,查询                
584 demonstrate  vt.示范,证明,论证;vi.示威                
585 denial  n.否认,否定,谢绝,拒绝                
586 denote  vt.指示,表示                
587 denounce  vt.公开指责,公然抨击,谴责                
588 dentist  n.牙科医生                
589 deny  v.否认,拒绝                
590 depict  vt.描述,描写                
591 deport  vt.举止,驱逐                
592 depress  vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条;v.压下                
593 depression  n.沮丧,消沉,低气压,低压                
594 deprive  vt.剥夺,使丧失                
595 derive  vt.得自;vi.起源                
596 descend  vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访;v.下去              
597 descendant  n.子孙,后裔,后代                
598 descent  n.降下,降落,世系,血统,侵袭                
599 describe  vt.描写,记述,形容,形容;v.描述                
600 deserve  vt.应受,值得;v.应受                
601 design  n.设计,图案,花样,企图,图谋,(小说等的)构思,纲要;v.设计,计划,谋划,构思              
602 designate  vt.指明,指出,任命,指派;v.指定,指派                
603 desirable  adj.值得要的,合意的,令人想要的,悦人心意的                
604 desire  vt.想望,期望,希望,请求(官方丈礼);n.愿望,心愿,要求;v.要求                
605 despise  vt.轻视                
606 despite  prep.不管,尽管,不论                
607 destination  n.目的地,[计]目的文件,目的单元格                
608 destined  adj.去往…的                
609 destiny  n.命运,定数                
610 destruction  n.破坏,毁灭                
611 destructive  adj.破坏(性)的                
612 detach  vt.分开,分离,分遣,派遣(军队)                
613 detail  n.细节,详情;vt.详述,细说;                
614 detain  v.拘留,留住,阻止                
615 detect  vt.察觉,发觉,侦查,探测;v.发现                
616 detection  n.察觉,发觉,侦查,探测,发现                
617 detective  n.侦探;adj.侦探的                
618 deteriorate  v.(使)恶化                
619 deviate  vi.背离,偏离;v.偏离                
620 device  n.装置,设计,图案,策略,发明物,设备;[计]安装设备驱动程序                
621 devise  vt.设计,发明,图谋,作出(计划),想出(办法),遗赠给;n.遗赠                
622 devote  vt.投入于,献身                
623 diagnose  v.诊断                
624 dictate  v.口述,口授,使听写,指令,指示,命令,规定;n.指示(指理智,变心)                
625 differentiate  v.区别,区分                
626 digest  n.分类,摘要;vi.消化;vt.消化,融会贯通
627 diffuse  v.散播,传播,漫射,扩散,(使)慢慢混合;adj.散开的,弥漫的
628 dignity  n.尊严,高贵                
629 dilemma  n.进退两难的局面,困难的选择                
630 diligent  adj.勤勉的,用功的,细心而继续不断的                
631 dilute  v.冲淡,变淡,变弱,稀释;adj.淡的,弱的,稀释的                
632 dim  adj.暗淡的,模糊的,无光泽的,悲观的,怀疑的;vt.使暗淡,使失去光泽;n.<美俚>笨蛋、傻子            
633 dimension  n.尺寸,尺度,维(数),度(数),元                
634 diminish  v.(使)减少,(使)变小                
635 dine  vi.吃饭,进餐                
636 diploma  n.文凭,毕业证书,证明权力、特权、荣誉等的证书,奖状                
637 diplomat  n.外交官,有外交手腕的人,有权谋的人                
638 directory  n.姓名地址录,目录                
639 disable  v.使残废,使失去能力,丧失能力                
640 disaster  n.灾难,天灾,灾祸                
641 disastrous  adj.损失惨重的,悲伤的                
642 discard  vt.丢弃,抛弃;v.放弃                
643 discern  v.目睹,认识,洞悉,辨别,看清楚                
644 discharge  vt.卸下,放出,清偿(债务),履行(义务),解雇,开(炮),放(枪),射(箭);vi.卸货,流注;n.卸货,流出,放电          
645 discipline  n.纪律,学科;v.训练                
646 disclose  vt.揭露,透露                
647 discount  n.折扣                
648 discreet  adj.小心的,慎重的,有思虑的,贤明的                
649 discrepancy  n.相差,差异,矛盾                
650 discrete  adj.不连续的,离散的                
651 discriminate  v.歧视,区别,区别待遇                
652 disease  n.疾病,弊病                
653 disguise  v.假装,伪装,掩饰;n.伪装                
654 disgust  n.厌恶,嫌恶;vi.令人厌恶,令人反感;vt.使作呕                
655 dismay  n.沮丧,惊慌;v.使沮丧,使惊慌                
656 dismiss  vt.解散,下课,开除,解职,使(或让)离开;vi.解散                
657 disorder  n.杂乱,混乱,无秩序状态;vt.扰乱,使失调,使紊乱                
658 dispatch  vt.分派,派遣;n.派遣,急件                
659 disperse  v.(使)分散,(使)散开,疏散                
660 displace  vt.移置,转移,取代,置换;v.转移                
661 display  vt.陈列,展览,显示;n.陈列,展览,显示,显示器                
662 disposal  n.处理,处置,布置,安排,配置,支配                
663 dispose  v.处理,处置,部署;vt.布置,安排,除去,使愿意                
664 disposition  n.部署                
665 disregard  v.不理漠视;n.漠视,忽视                
666 disrupt  v.使中断,使分裂,使瓦解,使陷于混乱,破坏                
667 dissipate  v.驱散,(使)(云、雾、疑虑等)消散,浪费(金钱或时间)                
668 distill  vt.蒸馏,提取;vi.滴下                
669 distinct  adj.清楚的,明显的,截然不同的,独特的                
670 distinguish  v.区别,辨别                
671 distort  vt.弄歪(嘴脸等),扭曲,歪曲(真理、事实等),误报                
672 distract  v.转移                
673 distribution  n.分配,分发,配给物,销售,法院对无遗嘱死亡者财产的分配,分布状态,区分,分类,发送,发行            
674 disturbance  n.骚动,动乱,打扰,干扰,骚乱,搅动                
675 diverse  adj.不同的,变化多的                
676 diversion  n.转移,转换,牵制,解闷,娱乐                
677 divert  v.转移,转向,使高兴                
678 divine  adj.神的,神圣的,非凡的,超人的,非常可爱的;n.牧师                
679 divorce  n.离婚,脱离;vt.使离婚,与...脱离                
680 dizzy  adj.(指人)晕眩的,昏乱的,(指地点,情况)使人晕眩的                
681 dock  n.<美>码头,船坞,被告席,尾巴的骨肉部分;vt.靠码头,引入坞,剪短;vi.入船坞              
682 doctrine  n.教条,学说                
683 dodge  v.避开,躲避;n.<俗>诡计,躲藏                
684 dole  n.施舍品,悲哀,失业救济金;vt.发放救济                
685 dolphin  n.海豚                
686 domain  n.领土,领地,(活动、学问等的)范围,领域                
687 dome  n.圆屋顶                
688 domestic  adj.家庭的,国内的,与人共处的,驯服的                
689 dominant  adj.有统治权的,占优势的,支配的;adj.[生物]显性的                
690 dominate  v.支配,占优势                
691 donate  v.捐赠,赠予                
692 donation  n.捐赠品,捐款,贡献                
693 doom  n.厄运,毁灭,死亡,世末日;v.注定,判决;著名的3D动作游戏                
694 doubtless  adj.无疑的,确定的;adv.无疑地,确定地,<口>大概、多半                
695 draft  n.草稿,草案,草图;vt.起草,为...打样,设计;v.草拟                
696 drag  v.拖,拖曳,缓慢而费力地行动;n.拖拉                
697 drain  n.排水沟,消耗,排水;vt.排出沟外,喝干,耗尽;vi.排水,流干                
698 drainage  n.排水,排泄,排水装置,排水区域,排出物,消耗                
699 dramatic  adj.戏剧性的,生动的                
700 drastic  adj.激烈的,(药性等)猛烈的                
701 drawback  n.缺点,障碍,退还的关税,退税(指进口货物再出口时退还其进口时的关税)              
702 dread  n.恐惧,恐怖,可怕的人(或物),畏惧;v.惧怕,担心                
703 dreadful  adj.可怕的,<口>讨厌的                
704 drill  n.钻孔机,钻子,播种机,军事训练,操练,(反复)练习,条播机;v.训练,钻孔,条播              
705 drought  n.干旱,缺乏                
706 dual  adj.双的,二重的,双重                
707 dub  vt.[电影]配音,轻点,授予称号,打击;n.鼓声,笨蛋                
708 dubious  adj.可疑的,不确定的                
709 duplicate  adj.复制的,副的,两重的,两倍的,完全相同;n.复制品,副本;vt.复写,复制,使加倍,使成双            
710 dwarf  n.矮子,侏儒;v.(使)变矮小                
711 dwell  vi.居住,踌躇                
712 eagle  n.鹰,鹰状标饰                
713 Easter  n.[宗](耶稣)复活节                
714 eccentric  adj.古怪;n.行为古怪的人                
715 eclipse  n.食,日蚀,月蚀,蒙蔽,衰落;vt.引起日蚀,引起月蚀,超越,使黯然失色              
716 ecology  n.生态学,[社会]环境适应学,均衡系统                
717 economic  adj.经济(上)的,产供销的,经济学的                
718 economical  adj.节约的,经济的                
719 economy  n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况                
720 edible  adj.可食用的                
721 effective  adj.有效的,被实施的,给人深刻印象,有生力量                
722 efficiency  n.效率,功效                
723 efficient  adj.(直接)生效的,有效率的,能干的                
724 ego  n.自我,利已主义,自负                
725 eject  vt.逐出,撵出,驱逐,喷射;n.推断的事物                
726 elaborate  adj.精心制作的,详细阐述的,精细;vt.精心制作,详细阐述;v.详细描述              
727 elapse  vi.(时间)过去,消逝;v.流逝                
728 elastic  adj.弹性的                
729 electric  adj.电的,导电的,电动的,电气                
730 electrical  adj.电的,有关电的                
731 electrician  n.电工,电学家                
732 electricity  n.电流,电,电学                
733 electron  n.电子                
734 electronic  adj.电子的                
735 elegant  adj.文雅的,端庄的,雅致的,<口>上品的,第一流的                
736 element  n.要素,元素,成分,元件,自然环境                
737 elementary  adj.初步的,基本的,[化]元素的,自然力的                
738 elevate  vt.举起,提拔,振奋,提升...的职位                
739 elicit  vt.得出,引出,抽出,引起                
740 eligible  adj.符合条件的,合格的                
741 eliminate  vt.排除,消除;v.除去                
742 elite  n.<法>[集合名词]精华,精锐,中坚分子                
743 eloquent  adj.雄辩的,有口才的,动人的,意味深长的                
744 embark  v.上船,上飞机,着手,从事,装于船上,登上                
745 embarrass  vt.使困窘,使局促不安,阻碍,麻烦                
746 embed  vt.使插入,使嵌入,深留,嵌入,[医]包埋                
747 embody  vt.具体表达,使具体化,包含,收录                
748 emerge  vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来                
749 emergency  n.紧急情况,突然事件,非常时刻,紧急事件                
750 emotion  n.情绪,情感,感情                
751 emphasis  n.强调,重点                
752 emphasize  vt.强调,着重;v.强调                
753 empirical  adj.完全根据经验的,经验主义的,[化]实验式                
754 employment  n.雇用,使用,利用,工作,职业                
755 enclosure  n.围住,围栏,四周有篱笆或围墙的场地                
756 encounter  v.遭遇,遇到,相遇;n.遭遇,遭遇战                
757 encourage  vt.鼓励,怂恿;v.鼓励,鼓励                
758 endeavor  n.努力,尽力;vi.尽力,努力                
759 endow  v.捐赠,赋予                
760 endurance  n.忍耐(力),持久(力),耐久(性)                
761 endure  v.耐久,忍耐                
762 energetic  adj.精力充沛的,积极的                
763 enforce  vt.强迫,执行,坚持,加强                
764 engage  vt.使忙碌,雇佣,预定,使从事于,使参加;vi.答应,从事,交战,[机]接合,啮合              
765 engagement  n.约会,婚约,诺言,交战,接站,雇拥,[机]接合                
766 engine  n.发动机,机车,火车头                
767 enhance  vt.提高,增强;v.提高                
768 enlighten  vt.启发,启蒙,教导,授予...知识,开导,<古>照耀                
769 enormous  adj.巨大的,庞大的,<古>极恶的,凶暴的                
770 enrich  vt.使富足,使肥沃,装饰,加料于,浓缩                
771 enroll  v.[亦作enrol]登记,招收,使入伍(或入会、入学等),参加,成为成员                
772 ensue  vi.跟着发生,继起;vt.(基督教《圣经》用语)追求                
773 entail  vt.使必需,使蒙受,使承担,遗传给;n.[建]限定继承权                
774 entertainment  n.款待,娱乐,娱乐表演                
775 enthusiasm  n.狂热,热心,积极性,激发热情的事物                
776 enthusiastic  adj.热心的,热情的                
777 entitle  vt.给...权利(或资格),给...题名,给...称号;v.授权,授权                
778 entity  n.实体                
779 entrepreneur  n.<法>企业家,主办人                
780 environment  n.环境,外界                
781 envisage  v.正视                
782 epoch  n.新纪元,时代,时期,时间上的一点,[地质]世                
783 equality  n.等同性,同等,平等,相等,等式                
784 equator  n.赤道,赤道似的圈.圆                
785 equip  vt.装备,配备,训练,准备行装                
786 equivalent  adj.相等的,相当的,同意义的;n.等价物,相等物                
787 erect  adj.直立的,竖立的,笔直的;vt.盖,使竖立,使直立,树立,建立;vi.[生理]勃起              
788 erosion  n.腐蚀,侵蚀                
789 erroneous  adj.错误的,不正确的                
790 erupt  vt.喷出;vi.爆发                
791 escort  n.护卫(队),护送,陪同(人员),护卫队;v.护卫,护送,陪同                
792 essence  n.基本,[哲]本质,香精                
793 essential  adj.本质的,实质的,基本的,提炼的,精华的;n.本质,实质,要素,要点                
794 establish  vt.建立,设立,安置,使定居,使人民接受,确定;v.建立                
795 esthetic  adj.感觉的                
796 estimate  v.&n.估计,估价,评估                
797 eternal  adj.永恒的,永远的,不灭的,没完没了的                
798 ethnic  adj.人种的,种族的,异教徒的                
799 evaluate  vt.评价,估计,求...的值;v.评价                
800 evidence  n.明显,显著,明白,迹象,根据,[物]证据,证物                
801 evident  adj.明显的,显然的                
802 evil  adj.邪恶的,带来麻烦的,不幸的,有害的,诽谤的;n.邪恶,不幸,罪恶                
803 evoke  vt.唤起,引起,博得                
804 evolution  n.进展,发展,演变,进化                
805 exaggerate  v.夸大,夸张                
806 exceed  vt.超越,胜过;vi.超过其他                
807 exception  n.除外,例外,反对,异议                
808 exceptional  adj.例外的,异常的                
809 excess  n.过度,剩于,无节制,超过,超额;adj.过度的,额外的                
810 excessive  adj.过多的,过分的,额外                
811 exchange  vt.交换,调换,兑换,交流,交易;n.交换,调换,兑换,交流,交易                
812 exclaim  v.呼喊,惊叫,大声叫                
813 exclude  vt.拒绝接纳,把...排除在外,排斥                
814 exclusive  adj.排外的,孤高的,唯我独尊的,独占的,唯一的,高级的                
815 excursion  n.远足,游览,短程旅行,远足队,离题,[物]偏移,漂移                
816 execute  vt.执行,实行,完成,处死,制成,[律]经签名盖章等手续使(证书)生效                
817 execution  n.实行,完成,执行,死刑,制作,(武器等的)破坏效果,杀伤力                
818 executive  adj.实行的,执行的,行政的;n.执行者,经理主管人员                
819 exemplify  vt.例证,例示,作为...例子                
820 exempt  v.免除;adj.被免除的                
821 exert  vt.尽(力),施加(压力等),努力;v.发挥,竭尽全力,尽                
822 exhaust  vt.用尽,耗尽,抽完,使筋疲力尽;vi.排气;n.排气,排气装置;adj.用不完的,不会枯竭的            
823 exhibit  vt.展出,陈列;n.展览品,陈列品,展品;v.展示                
824 exile  n.放逐,充军,流放,流犯,被放逐者;vt.放逐,流放,使背井离乡                
825 existence  n.存在,实在,生活,存在物,实在物                
826 exotic  adj.异国情调的,外来的,奇异的                
827 expand  vt.使膨胀,详述,扩张;vi.张开,发展                
828 expansion  n.扩充,开展,膨胀,扩张物,辽阔,浩瀚                
829 expedition  n.远征,探险队,迅速,派遣                
830 expel  v.驱逐,开除,排出,发射                
831 expend  vt.花费,消耗,支出,[海]把(暂时不用的绳)绕在杆上                
832 expenditure  n.支出,花费                
833 expense  n.费用,代价,损失,开支,费钱之物                
834 expert  n.专家,行家,[军](特等)射手;adj.老练的,内行的,专门的;vt.在...中当行家,当专家            
835 expertise  n.专家的意见,专门技术                
836 expire  v.期满,终止,呼气,断气,届满                
837 explicit  adj.外在的,清楚的,直率的,(租金等)直接付款的                
838 exploit  vt.开拓,开发,开采,剥削,用以自肥;v.使用                
839 explore  v.探险,探测,探究                
840 expose  vt.使暴露,受到,使曝光;v.揭露                
841 exposition  n.博览会,展览会,说明,曝露,[戏]展示部分,[音]呈示部                
842 expression  n.表达,表情,脸色,声调,腔调,榨出,语法,措辞;n.[数]式,表达式,符号              
843 exquisite  adj.优美的,高雅的,精致的,剧烈的,异常的,细腻的,敏锐的                
844 extensive  adj.广大的,广阔的,广泛的                
845 extent  n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令              
846 external  adj.外部的,客观的,[医]外用的,外国的,表面的;n.外部,外面                
847 extinct  adj.熄灭的,灭绝的,耗尽的;vt.<古>使熄灭                
848 extinguish  vt.熄灭,消灭,压制,使黯然失色,偿清                
849 extract  n.精,汁,榨出物,摘录,选粹;vt.拔出,榨取,开方,求根,摘录,析取,吸取              
850 extraordinary  adj.非常的,特别的,非凡的,特派的                
851 extravagant  adj.奢侈的,浪费的,过分的,放纵的                
852 extreme  adj.尽头的,极端的,极度的,偏激的,最后的;n.极端,极端的事物                
853 fabric  n.织品,织物,布,结构,建筑物,构造                
854 fabricate  vt.制作,构成,捏造,伪造,虚构                
855 facet  n.(多面体的)面,(宝石等的)刻面,小平面,方面,琢面;vt.在...上刻画              
856 facilitate  vt.（不以人作主语的）使容易,使便利,推动,帮助,使容易,促进                
857 factor  n.因素,要素,因数,代理人                
858 faculty  n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力                
859 faith  n.信任,信念,宗教信仰,忠实,保证,诺言,约定                
860 fake  n.假货,欺骗;adj.假的;vt.伪造,赝造,捏造,假造,仿造;vi.伪装                
861 famine  n.饥荒,<古>饥饿,严重的缺乏                
862 fantastic  adj.幻想的,奇异的,稀奇古怪的,荒谬的,空想的                
863 fantasy  n.幻想,白日梦                
864 fascinate  vt.使着迷,使神魂颠倒;vi.入迷,极度迷人的                
865 fatal  adj.致命的,重大的,命运注定的,不幸的,致命的,毁灭性的                
866 fatigue  n.疲乏,疲劳,累活,[军]杂役;vt.使疲劳,使心智衰弱;vi.疲劳                
867 feasible  adj.可行的,切实可行的                
868 feast  n.节日,盛宴,筵席,宴会,酒席;vt.盛宴,款待,享乐,请客;vi.参加宴会,享受              
869 feature  n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写;vt.是...的特色,特写,放映;vi.起重要作用            
870 federal  adj.联邦的,联合的,联邦制的,同盟的;n.(南北战争)北部联邦同盟盟员;连邦软件公司,国内正版经销商          
871 federation  n.同盟,联邦,联合,联盟                
872 feeble  adj.虚弱的,衰弱的,无力的,微弱的,薄弱的                
873 fellowship  n.伙伴关系,交情,团体,奖学金,友谊                
874 feminine  adj.妇女(似)的,娇柔的,阴性的,女性的                
875 ferry  n.摆渡,渡船,渡口;vt.渡运,(乘渡船)渡过,运送;vi.摆渡,(船)来往行驶              
876 fertilizer  n.肥料(尤指化学肥料),[动]受精媒介物                
877 fiction  n.虚构,编造,小说                
878 figure  n.外形,体形,图形,画像,数字,形状,身份;vt.描绘,塑造,表示,象征,演算,认为;vi.出现,考虑,出名,扮演角色          
879 finance  n.财政,金融,财政学;vt.供给...经费,负担经费;vi.筹措资金                
880 financial  adj.财政的,金融的                
881 finite  adj.有限的,[数]有穷的,限定的                
882 fitting  adj.适合的,相称的,适宜的;n.试穿,试衣,装配,装置                
883 fixture  n.固定设备,预定日期,比赛时间,[机]装置器,工作夹具                
884 flank  n.腰窝,侧面,军队侧翼,侧腹,胁,腰窝肉;vt.在...的侧面,侧翼包围,守侧面;vi.侧面与...相接            
885 flap  n.拍打,拍打声,副翼;v.拍打,鼓翼而飞,飘动,拉下(帽)的边,扔,掷                
886 flare  n.闪光,闪耀;vi.闪光,突然烧起来,闪耀;vt.使闪耀,使张开                
887 flask  n.瓶,长颈瓶,细颈瓶,烧瓶,小水瓶                
888 flat  adj.平坦的,扁平的,单调的,干脆的,无聊的;adv.平直地,正好,断然地;n.平面,一层,公寓;v.(使)变平,(使)降半音          
889 flatter  vt.过分夸赞,奉承,阿谀,使高兴,使满意,(画,肖像上的形象)胜过(真人或实物)              
890 flaw  n.缺点,裂纹,瑕疵,一阵狂风;vt.使破裂,使有缺陷,使无效;vi.生裂缝,变的有缺陷              
891 flexible  adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的                
892 fling  n.投,掷,猛冲,暴躁的行动,急冲,嘲弄,讥笑;vt.猛投,抛,掷,使陷入,挥动,嘲笑,扫视;vi.猛冲,直冲,急行          
893 flip  vt.掷,弹,轻击,鞭等抽打,空翻;vi.用指轻弹,抽打,翻书页(或纸张),蹦跳;n.抛,弹,筋斗;adj.无礼的,冒失的,轻率的          
894 float  n.漂流物,浮舟,浮萍,彩车;vi.浮动,飘浮,散播,摇摆,(计划等)付诸实行;vt.使漂浮,容纳,淹没,发行,用水注满          
895 fluctuate  vi.变动,波动,涨落,上下,动摇;vt.使动摇,使波动,使起伏                
896 flush  n.奔流,晕红,激动,萌芽,活力旺盛,发烧,一手同花的五张牌,惊鸟;adj.挥霍的,直接的,丰足的,泛滥的;adv.齐平地,直接地;vi.(脸)发红,奔涌,充沛,惊飞;vt.淹没,冲洗,使脸红,使齐平,使惊飞,使激动
897 flutter  n.摆动,鼓翼,烦扰;vi.鼓翼,飘动,悸动,乱跳,烦扰;vt.拍(翅),使焦急              
898 foam  n.泡沫,水沫,泡沫材料,泡沫橡皮,泡沫塑料;vi.起泡沫,冒汗水,吐白沫;vt.使起泡沫              
899 focus  n.(兴趣活动)中心,焦点,焦距,[医]病灶,地],震源;vi.聚焦,注视;vt.使集中,在焦点上,定焦点,调焦,集中          
900 foil  n.箔,金属薄片,[建]叶形片,烘托,衬托;vt.衬托,阻止,挡开,挫败,贴箔于              
901 fold  n.折,羊栏,折痕,信徒;vt.折叠,包,合拢,抱住,笼罩,调入,交迭;vi.折叠起来,彻底失败            
902 force  n.力量,武力,精力,魄力,势力,暴力,[复]军队,影响力;vt.强制,强加,(用武力)夺取,使,推动,施加压力          
903 foremost  adj.(位置或时间)最先的,最初的,最重要的;adv.首要地,首先                
904 foresee  vt.预见,预知                
905 forge  v.稳步前进,铸造,伪造                
906 formal  adj.外形的,正式的,合礼仪的,形式的,整齐匀称的;n.正式的社交活动              
907 format  n.开本,版式,形式,格式;vt.安排...的格局(或规格),[计]格式化(磁盘)              
908 formidable  adj.强大的,令人敬畏的,可怕的,艰难的                
909 formula  n.公式,规则,客套语                
910 formulate  vt.用公式表示,明确地表达,作简洁陈述;v.阐明                
911 fort  n.堡垒,边界上的贸易站                
912 forthcoming  adj.即将来临的;n.来临                
913 forum  n.古罗马城镇的广场(或市场),论坛,法庭,讨论会                
914 fossil  n.化石,僵化的事物;adj.化石的,陈腐的,守旧的                
915 foster  vt.养育,抚育,培养,鼓励,抱(希望);n.养育者,鼓励者                
916 foul  adj.污秽的,邪恶的,恶劣的;vt.弄脏,妨害,污蔑,犯规;vi.腐烂,犯规,缠结;n.犯规,缠绕;adv.违反规则地,不正当地          
917 fraction  n.小部分,片断,分数                
918 fracture  n.破裂,骨折;v.(使)破碎,(使)破裂                
919 fragile  adj.易碎的,脆的                
920 fragrance  n.芬芳,香气,香味                
921 frantic  adj.狂乱的,疯狂的                
922 fraud  n.欺骗,欺诈行为,诡计,骗子,假货                
923 frequency  n.频率,周率,发生次数                
924 frequent  adj.时常发生的,频繁的                
925 friction  n.摩擦,摩擦力                
926 fringe  n.边缘,须边,刘海;adj.边缘的,额外的;v.在...上加以缘饰,成为...的边缘              
927 fuel  n.燃料;vt.加燃料,供以燃料;vi.得到燃料                
928 fulfill  vt.履行,实现,完成(计划等)                
929 function  n.官能,功能,作用,职责,典礼,仪式,[数]函数;vi.(器官等)活动,运行,行使职责              
930 fund  n.资金,基金;v.支助,投资                
931 fundamental  adj.基础的,基本的;n.基本原则,基本原理                
932 furious  adj.狂怒的,狂暴的,激烈的,热烈兴奋的,极为激烈                
933 furnish  vt.供应,提供,装备,布置;v.供给                
934 furniture  n.家具,设备,储藏物                
935 furthermore  adv.此外,而且                
936 fury  n.狂怒,狂暴,激烈,狂怒的人                
937 fuse  n.保险丝,熔丝;v.熔合                
938 fusion  n.熔化,熔解,熔合,熔接                
