1 qualitative  adj.性质上的,定性的                
426 therefore  adv.因此,所以                
427 thermal  adj.热的,热量的                
428 thesis  n.论题,论文                
429 thigh  n.大腿,股                
430 thorn  n.[植]刺,棘,荆棘                
431 threaten  vt.恐吓,威胁,预示(危险),似有发生或来临的可能,可能来临                
432 threshold  n.开始,开端,极限                
433 thrill  v.发抖                
434 thrive  v.兴旺,繁荣,茁壮成长,旺盛                
435 throne  n.王座,君主                
436 tick  n.滴答声,记号,勾号,扁虱;v.滴答地响,标以记号,作滴答声                
437 tickle  n.搔,胳肢,发痒;vt.胳肢,逗笑,使高兴,使发痒;vi.觉得痒,使人痒                
438 tile  n.瓦片,瓷砖                
439 tilt  v.(使)倾斜,(使)翘起,以言词或文字抨击                
440 timely  adj.及时的,适时的                
441 timid  adj.胆小的,羞怯的                
442 tissue  n.薄的纱织品,薄纸,棉纸,[生]组织,连篇                
443 token  n.表示,向征,记号,代币;adj.象征的,表意的                
444 tolerant  adj.容忍的,宽恕的,有耐药力的                
445 toll  n.通行税(费),费,代价,钟声;vt.征收,敲钟,鸣(钟)(特指宣布死亡),勾引,引诱;vi.征税,鸣钟            
446 toss  v.投,掷                
447 tow  n.拖,拖曳所用之绳,麻的粗纤维;vt.拖,曳,牵引;vi.拖行,被拖带                
448 toxic  adj.有毒的,中毒的                
449 tract  n.广阔的地面,土地,地方,地域,(解剖)管道,小册子                
450 trademark  n.商标                
451 tragic  adj.悲惨的,悲剧的;n.(文艺作品或生活中的)悲剧因素,悲剧风格                
452 trait  n.显著的特点,特性                
453 transaction  n.办理,处理,会报,学报,交易,事务,处理事务                
454 transcend  vt.超越,胜过                
455 transfer  v搬转移                
456 transform  vt.转换,改变,改造,使...变形;vi.改变,转化,变换;n.[数]变换(式),[语]转换              
457 transient  adj.短暂的,瞬时的;n.瞬时现象                
458 transistor  n.[电子]晶体管                
459 transit  n.经过,通行,搬运,运输,运输线,转变;vt.横越,通过,经过;vi.通过;n.[天]中天,经纬仪            
460 transition  n.转变,转换,跃迁,过渡,变调                
461 transmission  n.播送,发射,传动,传送,传输,转播                
462 transmit  vt.传输,转送,传达,传导,发射,遗传,传播;vi.发射信号,发报                
463 transplant  v.移植,移种,移民,迁移;n.移植,被移植物,移居者                
464 transport  n.传送器,运输,运输机,激动,流放犯,狂喜;vt.传送,运输,流放,放逐                
465 traverse  n.横贯,横断,障碍,否认,反驳,通廊;vt.横过,穿过,经过,在...来回移动,反对,详细研究;vi.横越,旋转,来回移动;adj.横断的,横的        
466 treaty  n.条约,谈判                
467 tremendous  adj.极大的,巨大的                
468 trench  n.沟渠,堑壕,管沟,电缆沟,战壕;v.掘沟,挖战壕                
469 trend  n.倾向,趋势;vi.伸向,倾向,通向                
470 trial  n.试验,考验,审讯,审判                
471 tribe  n.部落,部族                
472 tribute  n.贡品,礼物,颂词,殷勤,贡物                
473 trifle  n.琐事,少量,蛋糕,小事;v.开玩笑,玩弄,闭混,浪费,嘲弄                
474 trigger  vt.引发,引起,触发;n.板机                
475 triple  n.三倍数,三个一组;adj.三倍的;vt.三倍与;vi.增至三倍                
476 triumph  n.胜利,成功;v.获得胜利                
477 trivial  adj.琐细的,价值不高的,微不足道的                
478 tub  n.浴盆                
479 tuck  n.缝摺,活力,鼓声,船尾突出部下方,食物(尤指点心,蛋糕);vt.打摺,卷起,挤进,塞,使隐藏;vi.折成摺子,缩拢          
480 tug  v.用力拖,吃力地搬运,苦干,用拖轮拖,拖拉;n.拖,苦干,拖船,(牵引用的)绳索              
481 tuition  n.学费                
482 tumble  n.跌倒,摔跤,翻斤斗;vi.翻倒,摔倒,倒塌,滚动,翻筋斗,仓惶地行动;vt.使摔倒,使滚翻,弄乱            
483 tunnel  n.隧道,地道                
484 turbulent  adj.狂暴的,吵闹的                
485 turnover  n.翻覆,翻折,半圆卷饼,流通量,营业额,周转;adj.有一部分翻转的,可翻转的              
486 tutor  n.家庭教师,(大学)指导教师,助教,监护人,辅导教师;v.辅导                
487 twist  n.一扭,扭曲,盘旋,曲折,歪曲,手法,螺旋状;vt.拧,扭曲,绞,搓,捻,使苦恼,使转动,编织;vi.扭弯,扭曲,缠绕,扭动,呈螺旋形        
488 ultimate  adj.最后的,最终的,根本的;n.最终                
489 ultraviolet  adj.紫外线的,紫外的;n.紫外线辐射                
490 unanimous  adj.意见一致的,无异议的                
491 underestimate  vt.低估,看轻;n.低估                
492 undergo  vt.经历,遭受,忍受                
493 underlying  adj.在下面的,根本的,潜在的,[商]优先的                
494 undermine  v.破坏                
495 unemployment  n.失业,失业人数                
496 unfold  vt.打开,显露,开展,阐明;vi.伸展,开花,呈现;vt.放(羊)出栏                
497 unity  n.团结,联合,统一,一致                
498 unique  adj.唯一的,独特的                
499 unity  n.团结,联合,统一,一致                
500 universe  n.宇宙,世界,万物,领域                
501 update  v.使现代化,修正,校正,更新;n.现代化,更新                
502 upgrade  n.升级,上升,上坡;adv.往上;vt.使升级,提升,改良品种                
503 uphold  vt.支持,赞成                
504 upright  adj.垂直的,竖式的,正直的,诚实的,合乎正道的;adv.笔直,竖立着;n.垂直,竖立              
505 urban  adj.城市的,市内的                
506 urge  vt.催促,力劝;n.强烈欲望,迫切要求;v.促进                
507 utilize  vt.利用                
508 utmost  n.极限,最大可能,极力;adj.极度的,最远的                
509 vacant  adj.空的,空白的,空灵的,头脑空虚的,神情茫然的,空闲的,空缺的                
510 vain  adj.徒然的,无益的,虚荣的,空虚的,自负的,愚蠢的                
511 valid  adj.[律]有效的,有根据的,正当的,正确的                
512 valve  n.阀,[英]电子管,真空管                
513 van  n.有篷货车,先锋,前驱,前卫;vt.用车搬运                
514 variation  n.变更,变化,变异,变种,[音]变奏,变调                
515 various  adj.不同的,各种各样的,多方面的,多样的                
516 vary  vt.改变,变更,使多样化;vi.变化,不同,违反                
517 vast  adj.巨大的,辽阔的,大量的,巨额的                
518 vegetation  n.[植]植被,(总称)植物、草木,(植物的)生长、呆板单调的生活                
519 vehicle  n.交通工具,车辆,媒介物,传达手段                
520 veil  n.面纱,面罩,帐,幕,掩饰物,遮蔽物,口实,假托;vt.戴面纱,隐藏,遮蔽,掩饰;vi.蒙上面纱            
521 vein  n.血管,静脉,叶脉,翅脉,矿脉,纹理,性情,心绪;vt.使成脉络,象脉络般分布于              
522 velocity  n.速度,速率,迅速,周转率                
523 velvet  n.天鹅绒,柔软,光滑;adj.天鹅绒的,柔软的,光滑的                
524 vent  n.通风孔,出烟孔,出口,(感情等的)发泄;v.放出,排出,发泄                
525 ventilate  vt.使通风,给...装通风设备                
526 venture  n.冒险,投机,风险;v.冒险,冒昧,斗胆,胆敢(谦语)                
527 verbal  adj.口头的                
528 verdict  n.[律](陪审团的)裁决,判决,判断,定论,结论                
529 verge  v.濒临;n.边缘                
530 verify  vt.检验,校验,查证,核实;[计]打开或关闭文件的读写校验                
531 versatile  adj.通用的,万能的,多才多艺的,多面手的                
532 verse  n.韵文,诗,诗节,诗句,诗篇                
533 version  n.译文,译本,翻译                
534 versus  prep.对(指诉讼,比赛等中),与...相对                
535 vertical  adj.垂直的,直立的,顶点的,[解]头顶的;n.垂直线,垂直面,竖向                
536 veto  n.否决,禁止,否决权;vt.否决,禁止                
537 vice  n.恶习,恶行,坏脾气,罪恶,堕落,老虎钳,缺点,缺陷;vt.钳住;prep.代替              
538 vicinity  n.邻近,附近,接近                
539 vicious  adj.恶的,不道德的,恶意的,刻毒的,堕落的,品性不端的,有错误的                
540 victim  n.受害人,牺牲者,牺牲品                
541 vigorous  adj.精力旺盛的,有力的,健壮的                
542 violate  vt.违犯,亵渎(圣物),冒犯,干扰,违反,妨碍,侵犯,强暴                
543 violent  adj.猛烈的,激烈的,暴力引起的,强暴的                
544 virgin  n.处女,处男;adj.处女的,童贞的,纯洁的,洁白无瑕疵的,未被玷污的,原始的,处于原状态的,未伐过的森林;美国游戏公司        
545 virtual  adj.虚的,实质的,[物]有效的,事实上的                
546 virtue  n.德行,美德,贞操,优点,功效,效力,英勇                
547 visa  n.签证;vt.签准;维萨信用卡                
548 vision  n.视力,视觉,先见之明,眼力,想象力,幻想,幻影,景象;vt.梦见,想象,显示              
549 visualize  vt.形象,形象化,想象;vi.显现                
550 vital  adj.生死攸关的,重大的,生命的,生机的,至关重要的,所必需的                
551 vivid  adj.生动的,鲜明的,鲜艳的,大胆的,清晰的,活泼的,逼真的                
552 vocal  adj.发嗓音的,声音的,有声的,歌唱的;n.元音,声乐作品                
553 vocational  adj.职业的                
554 void  n.空间,空旷,空虚,怅惘;adj.空的,无人的,空闲的,无效的,无用的,没有的              
555 volume  n.卷,册,体积,量,大量,音量                
556 voluntary  adj.自动的,自愿的,主动的,故意的,非官办的,志愿的,自发的                
557 volunteer  n.志愿者,志愿兵;adj.志愿的,义务的,无偿的;v.自愿                
558 vulgar  adj.粗俗的,庸俗的,普通的,通俗的,本土的;n.<古>平民,百姓                
559 vulnerable  adj.易受攻击的,易受...的攻击                
560 wallet  n.皮夹,钱夹,钓鱼带                
561 ward  n.守卫,保卫,保护,牢房,病房,行政区,监护,锁孔;vt.守护,保卫,防止,挡住,躲开,避免            
562 wardrobe  n.衣柜,衣厨,衣室,衣服,行头,剧装                
563 warehouse  n.仓库,货栈,大商店;vt.贮入仓库,<俚>[经]以他人名义购进(股票)                
564 warfare  n.战争,作战,冲突,竞争                
565 warrant  n.授权,正当理由,根据,证明,凭证,委任状,批准,许可证;vt.保证,辩解,担保,批准,使有正当理由            
566 watertight  adj.不漏水的,水密的                
567 watt  n.瓦特(1736-1819,英国工程师,发明家)                
568 wax  n.蜡,蜡状物,增加,月亮由亏转盈;vi.变大,增大,月亮渐满;vt.上蜡于              
569 wealth  n.财富,财产,大量                
570 wealthy  adj.富有的,丰裕的,充分的;n.富人,有钱人                
571 weapon  n.武器                
572 weary  adj.疲倦的,厌倦的,令人厌烦的,疲劳;v.疲倦,厌倦,厌烦                
573 web  n.网,蛛丝,蹼,翼手,织物,圈套,卷筒纸;vi.使陷入罗网,形成网;vt.织蜘蛛网于,使落入圈套;环球网            
574 wedge  n.楔;vt.楔入,楔进                
575 weird  adj.怪异的,超自然的,神秘的,不可思议的,超乎事理之外的;n.<古><苏格兰>命运,预言,符咒            
576 whereas  conj.然而,反之,鉴于,尽管,但是                
577 whereby  adv.凭什么,为何                
578 whirl  v.(使)旋转,急动,急走;n.旋转,—连串快速的活动                
579 withdraw  vt.收回,撤消;vi.缩回,退出;v.撤退                
580 withhold  vt.使停止,拒给,保留,抑制;vi.忍住                
581 witness  n.[律]证人,目击者,证据,证明,证词;vt.目击,为...作证,证明,表明;vi.作证,成为证据            
582 worthwhile  adj.值得做的,值得出力的                
583 worthy  n.杰出人物,知名人士;adj.有价值的,应...的,可敬的,值得的,相称的              
584 wreck  n.失事船(或飞机),残骸,(船,飞机的)失事;vt.破坏,拆毁                
585 wrench  n.扳钳,扳手,猛扭,痛苦,扭伤,歪曲;vt.猛扭,使扭伤,曲解,抢,折磨;vi.猛扭,绞痛              
586 wretched  adj.可怜的,悲惨的,肮脏的,恶劣的                
587 wrinkle  n.皱纹;v.使皱                
588 yacht  n.游艇,快艇,轻舟;vi.驾游艇,乘游艇                
589 yell  vi.大叫,忍不住笑,呼喊;vt.叫着说;n.叫声,喊声                
590 yield  v.出产,生长,生产;vi.(～to)屈服,屈从;n.产量,收益                
591 yoke  n.轭,轭状物,套,束缚,支配;v.把...套上轭,结合,连接                
592 zinc  n.锌;vt.涂锌于
